record_id,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
1,-0.050098445,0.11815022,0.1944177,-0.031134676,0.05631306,-0.1384329,0.07786577,-0.0906198,-0.02816514,-0.010745412,0.053242885,-0.06185568,0.026628003,0.0267402,-0.109375045,0.08691457,0.08991606,-0.024031304,0.02500458,-0.035576634,-0.0937172,-0.002584217,-0.11304203,0.0489204,0.10078779,0.7169996,-0.04371454,0.0023234226,0.08854067,-0.03153684,1.2901974,0.032712854
2,-0.2542175,0.18896201,-1.0625658,-0.03356983,-0.042197965,0.052254118,0.027779818,-0.08362928,0.20016626,-0.08520898,0.06456357,-0.027897894,-0.08355245,0.10871224,-0.04836136,-0.04538881,0.15384895,0.028949622,0.25751957,-0.12415863,-0.11011401,0.059406422,-0.21162823,0.003909614,0.14073159,0.7478706,-0.017346084,0.18287258,-0.7146917,-0.11471372,-1.231913,0.16512233
3,-0.18203874,0.25069135,0.21454863,-0.04155465,0.1198598,-0.14190486,0.20035133,-0.108940825,0.021632284,-0.07953371,-0.048280448,-0.15392825,0.032847427,0.09374991,-0.13450454,0.13777925,0.1498597,-0.029712072,0.12480544,-0.034548663,-0.16613013,-0.108899646,-0.24265,0.0999274,0.14370756,0.12509023,-0.12157147,-0.0033822097,0.2838398,-0.050215293,0.5739314,0.12631625
4,-0.19793144,-0.01570625,-0.18414932,-0.017169233,-0.054296844,0.27854452,-0.044062734,-0.09659551,0.3294648,-0.048028983,0.17454872,0.081043184,-0.15266927,0.0928937,0.09672786,-0.19941498,0.17109784,-0.022272587,0.30607873,-0.12461499,0.011809545,0.27692908,-0.11123766,-0.09838349,0.06013841,-0.16288419,0.08832304,0.13481686,-1.6530267,-0.058819693,-0.59274435,0.14692347
6,-0.38483047,0.3389684,0.28553444,0.09902595,-0.05442805,0.059522398,0.14309095,-0.112770304,0.3124748,-0.12931646,0.049352378,-0.14706531,-0.1788272,0.21147312,0.0011015385,-0.11540304,0.29454812,-0.043220658,0.3958377,-0.12663996,-0.12933323,0.0010243524,-0.3656618,0.023150537,0.14161517,-0.367482,-0.07594648,0.24186581,-0.8160156,-0.16289489,0.056489017,0.33687386
5,-0.28366384,0.16342747,-0.32011935,0.0074674785,0.031992123,0.021479078,0.07604972,-0.14753991,0.25891736,-0.09665711,0.022214657,-0.0271165,-0.06483253,0.1220178,-0.01165843,-0.016695727,0.18144053,-0.0035367943,0.31526133,-0.116863705,-0.06122532,0.09227228,-0.18692884,0.034205273,0.117142916,0.44510543,-0.08544928,0.10783528,-1.1833916,-0.077386856,-0.1249552,0.22210816
8,-0.07877109,-0.22607152,-0.01704371,0.13322169,-0.046355166,0.008795619,-0.23165284,0.07599149,0.07762487,0.03243962,0.18231186,0.20502192,-0.022292135,0.17030531,-0.002761811,0.027722884,0.17051128,-0.16076016,0.14614823,-0.08097134,-0.060738105,-0.037343,-0.15558252,0.055035464,-0.09038125,0.77984834,-0.044497356,0.17887416,-0.87613946,-0.06827588,0.8392404,0.15589687
7,-0.06512365,0.053990852,-0.9293518,-0.014255095,0.03129369,0.005051203,0.03480783,-0.050914004,0.06961143,-0.006289373,0.08933061,0.0021060705,-0.012713065,0.07417703,-0.051441625,0.033131447,0.10581181,-0.016011573,0.08908818,-0.027417496,-0.08285752,0.04013186,-0.113395214,0.012335543,0.0673969,-0.64495814,-0.062611476,0.06641285,-0.7009847,-0.049980123,-0.23036805,0.079043806
9,-0.18417415,0.31447342,-0.54796576,0.030038983,-0.04382927,-0.113790356,0.07889327,-0.10238841,0.108773775,-0.10141146,0.005314852,-0.1798388,-0.087188244,0.04385739,-0.0932263,0.051376436,0.15542516,-0.030086176,0.14386055,-0.08501836,-0.084412396,-0.0092077665,-0.18023211,0.081837304,0.08658967,0.56128633,-0.059172958,0.09767352,-0.29025465,-0.15735665,0.7595448,0.21231727
10,-0.30419633,0.18839054,-0.69514155,0.11336686,-0.0034680814,-0.03690363,0.07177431,-0.06431502,0.22231382,-0.10190377,0.023877287,-0.05861932,-0.09135999,0.1938823,-0.05458872,0.013517214,0.26327816,-0.067514636,0.32980418,-0.08993254,-0.12653364,-0.09932604,-0.2912089,0.07642202,0.10813968,0.28039762,-0.12755089,0.18297401,-0.522935,-0.1272119,0.25630167,0.2983299
11,-0.29588574,0.14188053,-0.039547727,0.052615974,-0.011105198,-0.0066634417,0.055751383,-0.121206895,0.27105197,-0.09213252,-0.004623509,-0.03574045,-0.06458139,0.1363881,-0.010896772,0.004825997,0.20002136,-0.045213312,0.3194201,-0.110697426,-0.06385721,0.028609065,-0.19970566,0.06531507,0.0804573,0.9014489,-0.07594904,0.117947266,-1.0484974,-0.100605674,-0.21959934,0.2662304
12,-0.08917709,-0.08035804,-0.5509521,0.039833106,-0.035093453,0.037418135,-0.06867741,-0.055365756,0.18090305,-0.07007576,0.08131297,0.1397152,-0.04852429,0.019846667,0.03376603,0.08520165,0.19120365,-0.05333323,0.2407892,-0.08923318,0.053732943,0.037706055,-0.0037577972,0.035314545,0.060942665,2.3117175,-0.04262729,0.026516888,-0.14844532,0.03464073,-0.6712575,0.21473126
13,-0.15302056,0.07795707,-0.05651024,0.06365386,0.006143309,-0.015524678,0.04236351,0.00862699,0.07468483,-0.028034873,0.018728577,0.004875129,-0.011900051,0.16111127,-0.008415297,-0.0020426232,0.13566542,-0.061531115,0.15808734,-0.06328345,-0.11148076,-0.05399629,-0.2137891,0.08310094,0.066669844,-0.27679145,-0.08071442,0.12512437,-0.6974889,-0.073795095,0.79777503,0.14572549
14,-0.22211912,0.078204185,-0.5018704,0.12190059,-0.012261085,-0.0117104575,-0.019412681,-0.021904565,0.17472818,-0.05117941,0.071786046,0.022491759,-0.0863897,0.188653,-0.03274037,-0.04097814,0.2301625,-0.07346755,0.26748893,-0.11416099,-0.09407921,-0.017715022,-0.23169672,0.075766146,0.08927018,-0.20662303,-0.085203886,0.18162501,-0.88537985,-0.11770612,0.67526126,0.24026285
19,-0.29334596,0.19201417,-1.1433405,-0.054064807,0.055101924,-0.0051293597,0.049478725,-0.17592426,0.26492193,-0.114013344,-0.032945722,-0.052576564,-0.0407414,0.069778025,-0.08317363,0.05968965,0.17493665,0.03749377,0.31559768,-0.113510095,-0.058736015,0.05312167,-0.15343112,0.05959145,0.16139567,1.0824089,-0.10655528,0.078464344,-1.2520069,-0.06115558,-0.53136635,0.22015902
16,-0.10285501,-0.011494826,-0.18749833,0.07391179,-0.13264412,0.096203424,-0.06459688,0.023258753,0.17093971,0.0019775182,0.052046493,0.0029958747,-0.09403199,0.09908451,0.11120613,-0.12840512,0.0763408,-0.108582966,0.123308964,-0.04080344,0.01609033,0.13328233,-0.11190292,0.002534477,-0.061110847,-0.75025374,0.060098536,0.15204126,-0.8922472,-0.115874805,0.7580442,0.11810688
